,Price (Tỷ),Area (m2),Price Per m2 (tr/m2),Location,In-Out
76,1.82,30.0,60.67,long biên,Quận
77,2.75,38.0,72.37,long biên,Quận
78,1.45,36.0,40.28,thanh oai,Huyện
79,1.53,36.0,42.5,hà đông,Quận
80,1.9,31.0,61.29,long biên,Quận
81,8.3,71.0,116.9,hoàn kiếm,Quận
82,7.9,50.0,158.0,hoàn kiếm,Quận
83,23.0,320.0,71.88,ba đình,Quận
84,30.0,140.0,214.29,tây hồ,Quận
85,20.0,200.0,100.0,ba đình,Quận
86,12.0,52.0,230.77,ba đình,Quận
87,9.8,40.0,245.0,đống đa,Quận
88,6.75,40.0,168.75,đống đa,Quận
89,1.4,32.0,43.75,hà đông,Quận
90,8.9,53.0,167.92,đống đa,Quận
91,1.2,33.0,36.36,hoài đức,Huyện
92,1.3,30.0,43.33,nam từ liêm,Quận
93,1.19,33.0,36.06,hà đông,Quận
94,6.7,52.0,128.85,đống đa,Quận
95,6.4,111.0,57.66,đống đa,Quận
96,3.6,59.0,61.02,hoàn kiếm,Quận
97,2.2,28.0,78.57,hoàn kiếm,Quận
98,15.0,110.0,136.36,thanh xuân,Quận
99,3.1,30.0,103.33,hà đông,Quận
100,3.4,44.0,77.27,hoàn kiếm,Quận
101,3.5,42.0,83.33,ba đình,Quận
102,9.0,165.0,54.55,hoàn kiếm,Quận
103,3.4,40.0,85.0,nam từ liêm,Quận
104,4.65,30.0,155.0,hoàn kiếm,Quận
105,4.75,30.0,158.33,hoàn kiếm,Quận
106,230.0,185.0,1243.24,bắc từ liêm,Quận
107,5.9,91.0,64.84,long biên,Quận
108,3.15,36.0,87.5,long biên,Quận
109,1.54,37.0,41.62,hà đông,Quận
110,13.6,61.0,222.95,ba đình,Quận
111,3.25,35.0,92.86,nam từ liêm,Quận
112,3.1,41.0,75.61,hoàn kiếm,Quận
113,4.5,47.0,95.74,ba đình,Quận
114,3.6,45.0,80.0,hoàn kiếm,Quận
115,15.2,65.0,233.85,ba đình,Quận
116,14.0,170.0,82.35,ba đình,Quận
117,5.8,35.0,165.71,ba đình,Quận
118,3.95,52.0,75.96,thanh xuân,Quận
119,2.1,128.0,16.41,hoàn kiếm,Quận
120,1.9,35.0,54.29,hoàn kiếm,Quận
121,1.9,32.0,59.38,hà đông,Quận
122,10.5,100.0,105.0,ba đình,Quận
123,2.17,37.0,58.65,hà đông,Quận
124,11.7,80.0,146.25,thanh xuân,Quận
125,6.4,70.0,91.43,thanh xuân,Quận
126,24.0,150.0,160.0,tây hồ,Quận
127,8.5,24.0,354.17,hoàn kiếm,Quận
128,8.0,36.0,222.22,hoàn kiếm,Quận
129,10.0,130.0,76.92,long biên,Quận
130,5.85,70.0,83.57,long biên,Quận
131,3.95,43.0,91.86,đống đa,Quận
132,17.0,130.0,130.77,đống đa,Quận
133,3.4,55.0,61.82,hoàn kiếm,Quận
134,2.19,32.0,68.44,hoàn kiếm,Quận
135,4.49,42.0,106.9,hoàn kiếm,Quận
136,16.9,80.0,211.25,ba đình,Quận
137,2.9,36.0,80.56,đống đa,Quận
138,2.9,22.0,131.82,đống đa,Quận
139,2.14,32.0,66.88,hà đông,Quận
140,4.3,60.0,71.67,ba đình,Quận
141,1.5,18.0,83.33,hoàn kiếm,Quận
142,21.0,60.0,350.0,ba đình,Quận
143,3.0,60.0,50.0,long biên,Quận
144,2.75,33.0,83.33,bắc từ liêm,Quận
145,3.2,47.0,68.09,hoàn kiếm,Quận
146,4.1,43.0,95.35,hoàn kiếm,Quận
147,2.5,38.0,65.79,long biên,Quận
148,3.3,31.0,106.45,hoàn kiếm,Quận
149,8.0,35.0,228.57,hoàn kiếm,Quận
150,20.5,115.0,178.26,ba đình,Quận
151,4.15,55.0,75.45,hoàn kiếm,Quận
152,7.2,60.0,120.0,đống đa,Quận
153,10.8,140.0,77.14,ba đình,Quận
154,3.55,45.0,78.89,hoàn kiếm,Quận
155,2.2,26.0,84.62,hoàn kiếm,Quận
156,2.25,29.0,77.59,hoàn kiếm,Quận
157,1.55,30.2,51.32,hoài đức,Huyện
158,4.55,42.0,108.33,hoàn kiếm,Quận
159,5.0,47.0,106.38,đống đa,Quận
160,4.5,78.0,57.69,hoàn kiếm,Quận
161,2.3,25.0,92.0,đống đa,Quận
162,16.0,75.0,213.33,ba đình,Quận
163,19.0,90.0,211.11,ba đình,Quận
164,3.9,45.0,86.67,ba đình,Quận
165,4.0,50.0,80.0,long biên,Quận
166,6.7,50.0,134.0,thanh xuân,Quận
167,4.65,50.0,93.0,hà đông,Quận
168,3.8,38.0,100.0,hoàn kiếm,Quận
169,4.5,33.0,136.36,hoàn kiếm,Quận
170,5.0,54.0,92.59,long biên,Quận
171,6.5,65.0,100.0,thanh xuân,Quận
172,10.3,99.0,104.04,hoàn kiếm,Quận
173,10.9,120.0,90.83,ba đình,Quận
174,4.5,40.0,112.5,thanh xuân,Quận
175,3.4,39.0,87.18,hoàn kiếm,Quận
176,4.05,36.0,112.5,thanh xuân,Quận
177,5.5,52.0,105.77,đống đa,Quận
178,5.25,50.0,105.0,hoàn kiếm,Quận
179,3.95,30.0,131.67,đống đa,Quận
180,2.0,35.0,57.14,hà đông,Quận
181,5.6,56.0,100.0,ba đình,Quận
182,6.7,44.0,152.27,đống đa,Quận
183,4.3,47.0,91.49,hoàn kiếm,Quận
184,2.0,30.0,66.67,hoài đức,Huyện
185,18.0,170.0,105.88,ba đình,Quận
186,3.75,43.0,87.21,thanh xuân,Quận
187,12.0,35.0,342.86,hoàn kiếm,Quận
188,7.6,35.0,217.14,đống đa,Quận
189,2.67,30.0,89.0,hoàn kiếm,Quận
190,15.8,80.0,197.5,hoàn kiếm,Quận
191,29.0,127.0,228.35,thanh xuân,Quận
192,3.0,30.0,100.0,đống đa,Quận
193,8.0,90.0,88.89,long biên,Quận
194,5.95,65.0,91.54,long biên,Quận
195,8.6,68.0,126.47,đống đa,Quận
196,8.0,105.0,76.19,hoàn kiếm,Quận
197,5.4,40.0,135.0,hà đông,Quận
198,3.98,56.0,71.07,đống đa,Quận
199,2.85,40.0,71.25,ba đình,Quận
200,3.2,46.9,68.23,gia lâm,Huyện
201,5.4,42.0,128.57,tây hồ,Quận
202,3.55,40.0,88.75,hoàn kiếm,Quận
203,2.75,102.0,26.96,ba đình,Quận
204,6.19,65.0,95.23,hoàn kiếm,Quận
205,4.6,40.3,114.14,nam từ liêm,Quận
206,4.7,50.0,94.0,đống đa,Quận
207,2.1,32.0,65.62,thanh xuân,Quận
208,1.2,27.0,44.44,đống đa,Quận
209,3.8,39.0,97.44,long biên,Quận
