,Price (Tỷ),Area (m2),Price Per m2 (tr/m2),Location,In-Out
872,3.65,23.0,158.7,hà đông,Quận
873,2.5,45.0,55.56,hà đông,Quận
874,3.4,39.0,87.18,hà đông,Quận
875,4.85,50.0,97.0,hà đông,Quận
876,4.95,50.0,99.0,hà đông,Quận
877,4.1,38.0,107.89,hà đông,Quận
878,3.5,53.0,66.04,hà đông,Quận
879,2.35,30.0,78.33,hà đông,Quận
880,4.2,73.0,57.53,hà đông,Quận
881,3.1,34.0,91.18,hà đông,Quận
882,3.15,36.0,87.5,hà đông,Quận
883,3.25,53.0,61.32,hà đông,Quận
884,2.85,30.0,95.0,hà đông,Quận
885,5.7,60.0,95.0,hà đông,Quận
886,3.9,35.0,111.43,hà đông,Quận
887,2.4,44.0,54.55,hà đông,Quận
888,3.75,60.0,62.5,hà đông,Quận
889,2.9,33.0,87.88,hà đông,Quận
890,2.5,34.0,73.53,hà đông,Quận
891,2.98,38.0,78.42,hà đông,Quận
892,3.7,34.0,108.82,hà đông,Quận
893,3.38,39.0,86.67,hà đông,Quận
894,5.8,56.0,103.57,hà đông,Quận
895,7.7,68.0,113.24,ba đình,Quận
896,3.75,36.0,104.17,bắc từ liêm,Quận
897,2.5,34.0,73.53,bắc từ liêm,Quận
898,5.95,50.0,119.0,hoàn kiếm,Quận
899,2.08,20.0,104.0,hoàn kiếm,Quận
900,4.8,50.0,96.0,đống đa,Quận
901,3.55,34.0,104.41,tây hồ,Quận
902,9.5,45.0,211.11,đống đa,Quận
903,45.0,105.0,428.57,thanh xuân,Quận
904,7.5,67.0,111.94,ba đình,Quận
905,13.5,65.0,207.69,ba đình,Quận
906,2.25,41.0,54.88,nam từ liêm,Quận
907,9.9,82.0,120.73,hoàn kiếm,Quận
908,10.9,50.0,218.0,ba đình,Quận
909,6.5,75.0,86.67,ba đình,Quận
910,5.8,14.0,414.29,đống đa,Quận
911,5.5,52.0,105.77,thanh xuân,Quận
912,1.4,33.0,42.42,thanh oai,Huyện
913,2.05,35.0,58.57,hà đông,Quận
914,23.0,281.0,81.85,hoàn kiếm,Quận
915,2.3,35.0,65.71,hà đông,Quận
916,1.62,31.0,52.26,hà đông,Quận
917,3.05,40.0,76.25,long biên,Quận
918,9.1,52.0,175.0,ba đình,Quận
919,3.7,37.0,100.0,ba đình,Quận
920,1.9,32.0,59.38,hoàn kiếm,Quận
921,4.15,39.0,106.41,ba đình,Quận
922,5.0,36.0,138.89,ba đình,Quận
923,19.5,85.0,229.41,tây hồ,Quận
924,3.6,38.0,94.74,hoàn kiếm,Quận
925,2.85,42.0,67.86,đống đa,Quận
926,7.5,40.0,187.5,ba đình,Quận
927,11.0,65.0,169.23,nam từ liêm,Quận
928,4.3,63.0,68.25,thanh trì,Huyện
929,3.5,39.0,89.74,ba đình,Quận
930,7.8,145.0,53.79,hoàn kiếm,Quận
931,12.9,120.0,107.5,ba đình,Quận
932,3.75,52.0,72.12,hoàn kiếm,Quận
933,2.95,32.0,92.19,bắc từ liêm,Quận
934,4.68,52.0,90.0,đống đa,Quận
935,5.2,36.0,144.44,ba đình,Quận
936,6.25,40.0,156.25,hoàn kiếm,Quận
937,1.51,32.0,47.19,hà đông,Quận
938,1.93,30.0,64.33,hà đông,Quận
939,5.0,56.0,89.29,ba đình,Quận
940,3.5,42.0,83.33,đống đa,Quận
941,3.5,50.0,70.0,hoàn kiếm,Quận
942,5.1,81.0,62.96,long biên,Quận
943,6.5,80.0,81.25,long biên,Quận
944,3.3,48.0,68.75,hoàn kiếm,Quận
945,2.58,30.0,86.0,hoàn kiếm,Quận
946,2.6,30.0,86.67,hoàn kiếm,Quận
947,2.6,30.0,86.67,thanh xuân,Quận
948,3.5,57.0,61.4,đống đa,Quận
949,11.6,80.0,145.0,đống đa,Quận
950,16.5,110.0,150.0,tây hồ,Quận
951,3.68,48.0,76.67,đống đa,Quận
952,20.0,160.0,125.0,thanh xuân,Quận
953,2.9,35.0,82.86,đống đa,Quận
954,2.9,28.0,103.57,hoàn kiếm,Quận
955,6.3,59.0,106.78,tây hồ,Quận
956,2.2,31.0,70.97,hoài đức,Huyện
957,10.5,50.0,210.0,ba đình,Quận
958,6.5,97.0,67.01,long biên,Quận
959,2.15,18.0,119.44,đống đa,Quận
960,3.8,40.0,95.0,bắc từ liêm,Quận
961,3.35,32.0,104.69,nam từ liêm,Quận
962,8.0,36.0,222.22,ba đình,Quận
963,5.5,40.0,137.5,tây hồ,Quận
964,3.45,31.0,111.29,ba đình,Quận
965,3.4,31.0,109.68,ba đình,Quận
966,3.95,40.0,98.75,nam từ liêm,Quận
967,10.8,40.0,270.0,đống đa,Quận
968,1.5,30.0,50.0,long biên,Quận
969,4.75,43.0,110.47,đống đa,Quận
970,1.43,40.0,35.75,hà đông,Quận
971,2.09,30.0,69.67,hà đông,Quận
972,1.62,30.0,54.0,hà đông,Quận
973,1.78,42.0,42.38,hà đông,Quận
974,1.9,35.0,54.29,hà đông,Quận
975,1.28,32.0,40.0,hà đông,Quận
976,1.85,31.0,59.68,hà đông,Quận
977,1.7,32.0,53.12,hoài đức,Huyện
978,5.1,59.0,86.44,hà đông,Quận
979,9.4,72.0,130.56,tây hồ,Quận
980,4.2,41.0,102.44,ba đình,Quận
981,3.05,64.0,47.66,long biên,Quận
982,9.2,49.0,187.76,tây hồ,Quận
983,6.9,48.0,143.75,hà đông,Quận
984,6.8,50.0,136.0,hà đông,Quận
985,6.75,75.0,90.0,hà đông,Quận
986,6.75,48.0,140.62,hà đông,Quận
987,6.7,50.0,134.0,hà đông,Quận
988,6.5,60.0,108.33,hà đông,Quận
989,6.5,48.0,135.42,hà đông,Quận
990,11.0,110.0,100.0,nam từ liêm,Quận
991,5.1,36.0,141.67,ba đình,Quận
992,4.3,66.0,65.15,tây hồ,Quận
993,13.0,75.0,173.33,ba đình,Quận
994,6.0,42.0,142.86,nam từ liêm,Quận
995,3.6,50.0,72.0,tây hồ,Quận
996,3.7,50.0,74.0,tây hồ,Quận
997,7.7,49.0,157.14,ba đình,Quận
998,3.1,37.0,83.78,tây hồ,Quận
999,3.1,51.0,60.78,tây hồ,Quận
1000,2.75,35.0,78.57,thanh xuân,Quận
1001,5.25,38.0,138.16,nam từ liêm,Quận
1002,3.0,25.0,120.0,ba đình,Quận
1003,3.4,28.0,121.43,ba đình,Quận
1004,10.3,61.0,168.85,đống đa,Quận
1005,2.75,35.0,78.57,nam từ liêm,Quận
1006,3.2,125.0,25.6,đống đa,Quận
1007,2.25,23.0,97.83,hoàn kiếm,Quận
1008,30.0,76.0,394.74,ba đình,Quận
1009,11.5,52.0,221.15,ba đình,Quận
1010,6.05,40.0,151.25,ba đình,Quận
1011,6.8,46.0,147.83,ba đình,Quận
1012,6.2,46.0,134.78,ba đình,Quận
1013,6.3,46.0,136.96,ba đình,Quận
1014,5.7,33.0,172.73,ba đình,Quận
1015,4.3,38.0,113.16,ba đình,Quận
1016,2.5,40.0,62.5,hoàn kiếm,Quận
1017,6.0,43.0,139.53,ba đình,Quận
1018,4.7,43.0,109.3,ba đình,Quận
1019,3.9,30.0,130.0,ba đình,Quận
1020,5.15,40.0,128.75,đống đa,Quận
1021,3.5,32.0,109.38,ba đình,Quận
1022,5.1,40.0,127.5,ba đình,Quận
1023,2.75,24.0,114.58,ba đình,Quận
1024,4.0,55.0,72.73,hoàn kiếm,Quận
1025,4.3,51.0,84.31,tây hồ,Quận
1026,2.7,24.0,112.5,ba đình,Quận
1027,1.68,20.0,84.0,hoàn kiếm,Quận
1028,4.0,40.0,100.0,hoàn kiếm,Quận
1029,1.8,165.0,10.91,thanh xuân,Quận
1030,2.39,36.0,66.39,long biên,Quận
1031,3.8,40.0,95.0,ba đình,Quận
1032,10.0,50.0,200.0,tây hồ,Quận
1033,1.49,43.0,34.65,hà đông,Quận
1034,1.75,34.0,51.47,hà đông,Quận
1035,2.1,35.0,60.0,hà đông,Quận
1036,1.55,38.0,40.79,hà đông,Quận
1037,1.9,38.0,50.0,hà đông,Quận
1038,1.45,40.0,36.25,hà đông,Quận
1039,1.25,31.0,40.32,hà đông,Quận
1040,4.85,69.0,70.29,ba đình,Quận
1041,2.5,36.0,69.44,tây hồ,Quận
1042,3.2,45.0,71.11,ba đình,Quận
1043,4.1,50.0,82.0,tây hồ,Quận
1044,2.4,40.0,60.0,tây hồ,Quận
1045,4.3,40.0,107.5,đống đa,Quận
1046,11.7,45.0,260.0,ba đình,Quận
1047,6.4,56.0,114.29,tây hồ,Quận
1048,6.3,55.0,114.55,tây hồ,Quận
1049,18.0,115.0,156.52,hoàn kiếm,Quận
1050,2.6,180.0,14.44,thanh xuân,Quận
1051,4.0,65.0,61.54,long biên,Quận
1052,5.35,50.0,107.0,đống đa,Quận
1053,4.0,40.0,100.0,đống đa,Quận
1054,3.5,30.0,116.67,ba đình,Quận
1055,3.0,28.0,107.14,ba đình,Quận
1056,2.8,26.0,107.69,ba đình,Quận
1057,2.9,28.0,103.57,ba đình,Quận
1058,3.2,30.0,106.67,ba đình,Quận
1059,3.0,29.0,103.45,ba đình,Quận
1060,5.2,42.0,123.81,ba đình,Quận
1061,5.1,46.0,110.87,ba đình,Quận
1062,4.5,48.0,93.75,ba đình,Quận
1063,5.0,45.0,111.11,ba đình,Quận
1064,4.7,50.0,94.0,ba đình,Quận
1065,6.2,69.0,89.86,ba đình,Quận
1066,35.0,120.0,291.67,tây hồ,Quận
1067,3.6,46.0,78.26,nam từ liêm,Quận
1068,2.3,30.0,76.67,long biên,Quận
1069,2.7,36.0,75.0,tây hồ,Quận
1070,27.5,131.0,209.92,ba đình,Quận
1071,4.0,46.0,86.96,hà đông,Quận
1072,2.79,35.0,79.71,long biên,Quận
1073,2.35,35.0,67.14,long biên,Quận
1074,2.0,33.0,60.61,hoàn kiếm,Quận
1075,4.55,72.0,63.19,hà đông,Quận
1076,4.65,67.0,69.4,long biên,Quận
1077,3.6,45.0,80.0,hoàn kiếm,Quận
1078,0.95,18.0,52.78,long biên,Quận
1079,4.4,60.0,73.33,thanh xuân,Quận
1080,1.73,30.0,57.67,hoài đức,Huyện
1081,23.0,150.0,153.33,ba đình,Quận
1082,31.0,156.0,198.72,tây hồ,Quận
1083,36.0,220.0,163.64,tây hồ,Quận
1084,2.75,38.0,72.37,hoàn kiếm,Quận
1085,2.5,150.0,16.67,hoàn kiếm,Quận
1086,2.8,38.0,73.68,long biên,Quận
1087,8.6,87.0,98.85,long biên,Quận
1088,3.2,38.0,84.21,hoàn kiếm,Quận
1089,2.65,40.0,66.25,long biên,Quận
1090,9.7,43.0,225.58,ba đình,Quận
1091,3.3,45.0,73.33,hoàn kiếm,Quận
1092,3.45,26.0,132.69,đống đa,Quận
1093,4.1,50.0,82.0,ba đình,Quận
1094,2.65,38.0,69.74,hoàn kiếm,Quận
1095,2.45,36.0,68.06,thanh xuân,Quận
1096,6.6,50.0,132.0,hoàn kiếm,Quận
1097,16.0,70.0,228.57,đống đa,Quận
1098,4.8,53.0,90.57,đống đa,Quận
1099,3.7,45.0,82.22,hoàn kiếm,Quận
1100,1.7,42.0,40.48,long biên,Quận
1101,2.1,26.0,80.77,hoàn kiếm,Quận
1102,4.1,46.0,89.13,hoàn kiếm,Quận
1103,6.05,50.0,121.0,hoàn kiếm,Quận
1104,2.15,32.0,67.19,hoài đức,Huyện
1105,4.3,47.0,91.49,hoàn kiếm,Quận
1106,3.4,37.0,91.89,long biên,Quận
1107,3.7,47.0,78.72,hoàn kiếm,Quận
1108,2.2,32.0,68.75,hoàn kiếm,Quận
1109,2.0,30.0,66.67,ba đình,Quận
1110,5.95,55.0,108.18,long biên,Quận
1111,3.3,35.0,94.29,long biên,Quận
1112,5.35,50.0,107.0,ba đình,Quận
1113,12.5,38.0,328.95,hoàn kiếm,Quận
1114,2.9,30.0,96.67,đống đa,Quận
1115,6.6,71.0,92.96,đống đa,Quận
1116,2.0,40.0,50.0,long biên,Quận
1117,0.95,32.0,29.69,hà đông,Quận
1118,5.3,117.0,45.3,bắc từ liêm,Quận
1119,2.25,23.0,97.83,đống đa,Quận
1120,7.5,55.0,136.36,hoàn kiếm,Quận
1121,3.3,33.0,100.0,long biên,Quận
1122,4.1,42.0,97.62,nam từ liêm,Quận
1123,3.7,43.0,86.05,ba đình,Quận
1124,13.0,60.0,216.67,ba đình,Quận
1125,4.0,35.0,114.29,tây hồ,Quận
1126,2.6,44.0,59.09,long biên,Quận
1127,2.0,27.0,74.07,long biên,Quận
1128,2.45,32.0,76.56,hoàn kiếm,Quận
1129,4.0,46.0,86.96,ba đình,Quận
1130,5.3,78.0,67.95,hoàn kiếm,Quận
1131,2.3,28.0,82.14,đống đa,Quận
1132,3.05,36.0,84.72,hà đông,Quận
1133,7.5,45.0,166.67,ba đình,Quận
1134,4.9,45.0,108.89,long biên,Quận
1135,3.2,42.0,76.19,long biên,Quận
1136,6.5,45.0,144.44,thanh xuân,Quận
1137,2.5,50.0,50.0,hoàn kiếm,Quận
1138,3.25,40.0,81.25,long biên,Quận
1139,7.1,54.0,131.48,long biên,Quận
1140,3.4,33.0,103.03,hoàn kiếm,Quận
1141,17.5,199.0,87.94,hoàn kiếm,Quận
1142,7.8,35.0,222.86,ba đình,Quận
1143,35.0,155.0,225.81,tây hồ,Quận
1144,9.5,64.0,148.44,long biên,Quận
1145,9.5,60.0,158.33,đống đa,Quận
1146,3.65,40.0,91.25,long biên,Quận
1147,4.5,50.0,90.0,hà đông,Quận
1148,3.15,43.0,73.26,hoàn kiếm,Quận
1149,2.0,30.0,66.67,hoàn kiếm,Quận
1150,4.15,60.0,69.17,thanh xuân,Quận
1151,2.85,42.0,67.86,thanh xuân,Quận
1152,10.6,52.0,203.85,ba đình,Quận
1153,3.8,62.0,61.29,hoàn kiếm,Quận
1154,2.1,40.0,52.5,long biên,Quận
1155,2.8,47.8,58.58,long biên,Quận
1156,8.6,56.0,153.57,đống đa,Quận
1157,3.7,65.0,56.92,bắc từ liêm,Quận
1158,3.15,38.0,82.89,hoàn kiếm,Quận
1159,7.25,65.0,111.54,hoàn kiếm,Quận
1160,6.15,94.0,65.43,long biên,Quận
1161,4.2,32.0,131.25,hà đông,Quận
1162,4.65,47.0,98.94,hà đông,Quận
1163,3.75,41.0,91.46,tây hồ,Quận
1164,1.79,21.0,85.24,hoàn kiếm,Quận
1165,3.18,145.0,21.93,hoàn kiếm,Quận
1166,7.5,50.0,150.0,hoàn kiếm,Quận
1167,3.8,28.0,135.71,đống đa,Quận
1168,11.5,65.0,176.92,tây hồ,Quận
1169,5.0,68.0,73.53,thanh xuân,Quận
1170,3.7,37.0,100.0,đống đa,Quận
1171,2.17,30.8,70.45,long biên,Quận
1172,12.0,75.0,160.0,thanh xuân,Quận
1173,5.0,60.0,83.33,hoàn kiếm,Quận
1174,3.55,31.0,114.52,ba đình,Quận
1175,2.25,32.0,70.31,hoàn kiếm,Quận
1176,3.4,36.0,94.44,hoàn kiếm,Quận
1177,2.9,46.0,63.04,hoàn kiếm,Quận
1178,5.3,52.0,101.92,long biên,Quận
1179,2.1,40.0,52.5,hoàn kiếm,Quận
1180,6.4,60.0,106.67,long biên,Quận
1181,2.6,42.0,61.9,long biên,Quận
1182,4.0,42.0,95.24,long biên,Quận
1183,4.2,55.0,76.36,hà đông,Quận
1184,4.95,65.0,76.15,hoàn kiếm,Quận
1185,2.7,45.0,60.0,hoàn kiếm,Quận
1186,2.8,240.0,11.67,đống đa,Quận
1187,5.3,50.0,106.0,ba đình,Quận
1188,3.95,50.0,79.0,ba đình,Quận
1189,3.5,35.0,100.0,long biên,Quận
1190,3.85,47.0,81.91,thanh xuân,Quận
1191,2.75,30.0,91.67,ba đình,Quận
1192,4.0,46.0,86.96,hoàn kiếm,Quận
1193,2.7,51.0,52.94,long biên,Quận
1194,6.9,45.0,153.33,ba đình,Quận
1195,4.3,67.0,64.18,long biên,Quận
1196,3.4,38.0,89.47,long biên,Quận
1197,2.0,27.0,74.07,hoàn kiếm,Quận
1198,2.95,35.0,84.29,tây hồ,Quận
1199,2.55,35.0,72.86,long biên,Quận
1200,4.6,42.0,109.52,thanh xuân,Quận
1201,4.0,42.0,95.24,bắc từ liêm,Quận
1202,1.85,25.0,74.0,hoàn kiếm,Quận
1203,8.3,66.0,125.76,long biên,Quận
1204,2.6,155.0,16.77,hoàn kiếm,Quận
1205,3.7,50.0,74.0,nam từ liêm,Quận
1206,2.5,32.0,78.12,long biên,Quận
1207,2.97,30.0,99.0,tây hồ,Quận
1208,4.1,84.0,48.81,bắc từ liêm,Quận
1209,7.55,65.0,116.15,đống đa,Quận
1210,2.57,43.0,59.77,hoàn kiếm,Quận
1211,2.9,33.0,87.88,tây hồ,Quận
1212,4.5,44.0,102.27,long biên,Quận
1213,5.7,60.0,95.0,long biên,Quận
1214,6.9,85.0,81.18,long biên,Quận
1215,5.4,57.0,94.74,thanh xuân,Quận
1216,24.0,108.0,222.22,hoàn kiếm,Quận
1217,2.85,35.0,81.43,hoàn kiếm,Quận
1218,2.85,45.0,63.33,hoàng mai,Quận
1219,5.5,48.0,114.58,hoàn kiếm,Quận
1220,13.5,100.0,135.0,thanh xuân,Quận
1221,3.5,63.0,55.56,thanh xuân,Quận
1222,4.0,52.0,76.92,long biên,Quận
1223,3.5,35.0,100.0,hoàn kiếm,Quận
1224,3.1,35.0,88.57,ba đình,Quận
1225,3.45,35.0,98.57,hoàn kiếm,Quận
1226,4.5,40.0,112.5,hoàn kiếm,Quận
1227,8.5,62.0,137.1,ba đình,Quận
1228,5.0,52.0,96.15,hoàn kiếm,Quận
1229,2.8,30.0,93.33,hoàng mai,Quận
1230,5.2,50.0,104.0,tây hồ,Quận
1231,8.3,30.0,276.67,hoàn kiếm,Quận
1232,16.5,192.0,85.94,hoàn kiếm,Quận
1233,4.85,50.0,97.0,hoàn kiếm,Quận
1234,4.8,45.0,106.67,thanh xuân,Quận
1235,5.35,45.0,118.89,ba đình,Quận
1236,2.15,41.0,52.44,long biên,Quận
1237,2.45,31.0,79.03,hoàn kiếm,Quận
1238,9.5,46.0,206.52,hoàn kiếm,Quận
1239,12.9,60.0,215.0,hoàn kiếm,Quận
1240,6.1,42.0,145.24,ba đình,Quận
1241,2.8,35.0,80.0,hoàn kiếm,Quận
1242,5.3,50.0,106.0,ba đình,Quận
1243,2.5,35.0,71.43,nam từ liêm,Quận
1244,6.5,47.0,138.3,đống đa,Quận
1245,1.86,22.0,84.55,thanh xuân,Quận
1246,7.25,120.0,60.42,ba đình,Quận
1247,4.8,53.0,90.57,ba đình,Quận
1248,8.0,58.0,137.93,long biên,Quận
1249,5.5,48.0,114.58,thanh xuân,Quận
1250,4.05,48.0,84.37,hoàn kiếm,Quận
1251,4.85,55.0,88.18,hoàn kiếm,Quận
1252,3.95,42.0,94.05,long biên,Quận
1253,6.2,56.0,110.71,thanh xuân,Quận
1254,3.0,32.0,93.75,ba đình,Quận
1255,7.8,70.0,111.43,ba đình,Quận
1256,1.5,34.0,44.12,thanh trì,Huyện
1257,13.9,141.0,98.58,thanh xuân,Quận
1258,3.7,35.0,105.71,ba đình,Quận
1259,3.8,40.0,95.0,ba đình,Quận
1260,5.4,40.0,135.0,ba đình,Quận
1261,3.55,44.0,80.68,long biên,Quận
1262,7.2,58.0,124.14,đống đa,Quận
1263,4.0,45.0,88.89,đống đa,Quận
1264,2.55,50.0,51.0,hà đông,Quận
1265,7.6,50.0,152.0,đống đa,Quận
1266,2.6,60.0,43.33,hà đông,Quận
1267,2.2,40.0,55.0,hà đông,Quận
1268,3.1,75.0,41.33,thanh trì,Huyện
1269,6.2,55.0,112.73,thanh xuân,Quận
1270,1.3,80.0,16.25,hoàn kiếm,Quận
1271,2.2,30.0,73.33,tây hồ,Quận
1272,5.0,65.0,76.92,long biên,Quận
1273,5.59,55.0,101.64,long biên,Quận
1274,4.8,47.0,102.13,long biên,Quận
1275,4.69,50.0,93.8,long biên,Quận
1276,9.5,80.0,118.75,thanh xuân,Quận
1277,3.5,43.0,81.4,hoàn kiếm,Quận
1278,3.0,30.0,100.0,tây hồ,Quận
1279,2.0,34.0,58.82,long biên,Quận
1280,6.1,25.0,244.0,ba đình,Quận
1281,2.8,36.0,77.78,hoàn kiếm,Quận
1282,3.15,40.0,78.75,hoàn kiếm,Quận
1283,9.5,42.0,226.19,ba đình,Quận
1284,3.3,39.0,84.62,long biên,Quận
1285,2.6,50.0,52.0,long biên,Quận
1286,2.0,44.0,45.45,long biên,Quận
1287,5.3,35.0,151.43,đống đa,Quận
1288,2.25,33.0,68.18,long biên,Quận
1289,5.0,50.0,100.0,ba đình,Quận
1290,7.5,72.0,104.17,ba đình,Quận
1291,2.5,23.0,108.7,ba đình,Quận
1292,1.9,22.0,86.36,hoàn kiếm,Quận
1293,6.3,45.0,140.0,thanh xuân,Quận
1294,3.35,35.0,95.71,hà đông,Quận
1295,2.95,39.0,75.64,long biên,Quận
1296,4.95,36.0,137.5,ba đình,Quận
1297,10.5,68.0,154.41,thanh xuân,Quận
1298,2.55,30.0,85.0,ba đình,Quận
1299,10.8,61.0,177.05,ba đình,Quận
1300,7.8,60.0,130.0,đống đa,Quận
1301,2.88,40.0,72.0,long biên,Quận
1302,2.98,48.0,62.08,long biên,Quận
1303,2.55,34.0,75.0,long biên,Quận
1304,3.8,52.0,73.08,hoàn kiếm,Quận
1305,4.0,40.0,100.0,thanh xuân,Quận
1306,8.85,47.0,188.3,ba đình,Quận
1307,5.6,35.0,160.0,ba đình,Quận
1308,15.0,68.0,220.59,đống đa,Quận
1309,2.98,35.0,85.14,hoàn kiếm,Quận
1310,3.15,44.0,71.59,tây hồ,Quận
1311,2.85,30.0,95.0,đống đa,Quận
1312,2.85,27.0,105.56,ba đình,Quận
1313,3.3,42.0,78.57,long biên,Quận
1314,3.1,30.0,103.33,đống đa,Quận
1315,4.6,36.0,127.78,hoàn kiếm,Quận
1316,8.4,105.0,80.0,tây hồ,Quận
1317,4.5,56.3,79.93,tây hồ,Quận
1318,4.5,40.0,112.5,đống đa,Quận
1319,2.35,30.8,76.3,long biên,Quận
1320,2.18,30.1,72.43,long biên,Quận
1321,2.25,32.0,70.31,long biên,Quận
1322,2.2,31.0,70.97,tây hồ,Quận
1323,2.55,32.0,79.69,long biên,Quận
1324,5.15,50.0,103.0,hoàn kiếm,Quận
1325,3.9,35.0,111.43,ba đình,Quận
1326,3.8,52.0,73.08,ba đình,Quận
1327,2.2,35.0,62.86,hoàn kiếm,Quận
1328,4.85,61.0,79.51,ba đình,Quận
1329,5.3,40.0,132.5,thanh xuân,Quận
1330,3.55,40.0,88.75,thanh xuân,Quận
1331,13.2,100.0,132.0,thanh xuân,Quận
1332,2.78,33.0,84.24,hoàn kiếm,Quận
1333,7.13,50.0,142.6,hoàn kiếm,Quận
1334,3.3,46.0,71.74,long biên,Quận
1335,7.3,65.0,112.31,hoàn kiếm,Quận
1336,2.35,35.0,67.14,hoàn kiếm,Quận
1337,10.35,85.0,121.76,tây hồ,Quận
1338,2.0,35.0,57.14,thanh xuân,Quận
1339,2.33,25.0,93.2,đống đa,Quận
1340,2.18,32.0,68.12,long biên,Quận
1341,2.7,34.0,79.41,thanh xuân,Quận
1342,3.65,40.0,91.25,thanh xuân,Quận
1343,1.3,20.0,65.0,hoàn kiếm,Quận
1344,8.0,64.0,125.0,long biên,Quận
1345,3.35,58.0,57.76,long biên,Quận
1346,3.3,33.0,100.0,hoàn kiếm,Quận
1347,13.0,80.0,162.5,ba đình,Quận
1348,6.2,55.0,112.73,long biên,Quận
1349,6.95,55.0,126.36,thanh xuân,Quận
1350,2.8,35.0,80.0,ba đình,Quận
1351,9.8,60.0,163.33,ba đình,Quận
1352,5.2,45.0,115.56,ba đình,Quận
1353,16.0,100.0,160.0,đống đa,Quận
1354,6.0,35.0,171.43,thanh xuân,Quận
1355,8.5,40.0,212.5,ba đình,Quận
1356,3.8,46.0,82.61,long biên,Quận
1357,2.3,32.0,71.88,long biên,Quận
1358,4.45,52.0,85.58,đống đa,Quận
1359,3.85,30.0,128.33,thanh xuân,Quận
1360,7.4,7.4,1000.0,đống đa,Quận
1361,11.8,50.0,236.0,ba đình,Quận
1362,5.9,60.0,98.33,long biên,Quận
1363,4.6,50.0,92.0,ba đình,Quận
1364,2.35,30.0,78.33,long biên,Quận
1365,2.2,36.0,61.11,hoài đức,Huyện
1366,6.5,55.0,118.18,long biên,Quận
1367,4.7,40.0,117.5,đống đa,Quận
1368,10.3,45.0,228.89,ba đình,Quận
1369,3.8,40.0,95.0,đống đa,Quận
1370,4.2,64.0,65.62,hoàn kiếm,Quận
1371,3.0,32.0,93.75,thanh xuân,Quận
1372,2.25,33.5,67.16,long biên,Quận
1373,6.5,59.0,110.17,long biên,Quận
1374,6.3,35.0,180.0,thanh xuân,Quận
1375,2.75,33.0,83.33,hoàn kiếm,Quận
1376,4.2,38.0,110.53,đống đa,Quận
1377,59.0,158.0,373.42,đống đa,Quận
1378,4.5,47.0,95.74,tây hồ,Quận
1379,4.0,33.0,121.21,hoàn kiếm,Quận
1380,2.3,33.0,69.7,long biên,Quận
1381,2.5,50.0,50.0,thanh xuân,Quận
1382,2.6,32.0,81.25,thanh xuân,Quận
1383,5.8,65.0,89.23,đống đa,Quận
1384,8.4,40.0,210.0,tây hồ,Quận
1385,13.5,40.0,337.5,ba đình,Quận
1386,5.2,54.0,96.3,ba đình,Quận
1387,2.6,35.0,74.29,hoàng mai,Quận
1388,5.0,44.0,113.64,đống đa,Quận
1389,3.0,32.0,93.75,thanh xuân,Quận
1390,3.05,42.0,72.62,hoàn kiếm,Quận
1391,8.3,65.0,127.69,long biên,Quận
1392,4.7,33.0,142.42,hoàn kiếm,Quận
1393,14.7,54.0,272.22,hoàn kiếm,Quận
1394,7.3,61.0,119.67,đống đa,Quận
1395,2.03,34.0,59.71,hà đông,Quận
1396,2.85,38.0,75.0,hoàn kiếm,Quận
1397,6.19,42.0,147.38,thanh xuân,Quận
1398,3.0,35.0,85.71,hoàn kiếm,Quận
1399,2.15,31.0,69.35,long biên,Quận
1400,2.85,35.0,81.43,thanh trì,Huyện
1401,7.6,58.0,131.03,ba đình,Quận
1402,1.68,30.0,56.0,hoàn kiếm,Quận
1403,5.0,45.0,111.11,nam từ liêm,Quận
1404,3.5,36.0,97.22,ba đình,Quận
1405,2.4,30.0,80.0,tây hồ,Quận
1406,8.75,52.0,168.27,đống đa,Quận
1407,10.8,47.0,229.79,ba đình,Quận
1408,14.2,58.0,244.83,ba đình,Quận
1409,9.2,47.0,195.74,ba đình,Quận
1410,9.7,80.0,121.25,ba đình,Quận
1411,13.8,66.0,209.09,ba đình,Quận
1412,10.6,45.0,235.56,bắc từ liêm,Quận
1413,4.35,40.0,108.75,đống đa,Quận
1414,5.6,40.0,140.0,thanh xuân,Quận
1415,3.85,38.0,101.32,đống đa,Quận
1416,2.85,30.0,95.0,ba đình,Quận
1417,3.05,35.0,87.14,long biên,Quận
1418,2.7,28.0,96.43,ba đình,Quận
1419,12.5,54.0,231.48,ba đình,Quận
1420,2.8,36.0,77.78,thanh xuân,Quận
1421,12.5,140.0,89.29,hoàng mai,Quận
1422,5.5,50.0,110.0,đống đa,Quận
1423,8.7,65.0,133.85,hoàn kiếm,Quận
1424,3.28,30.0,109.33,thanh xuân,Quận
1425,3.89,45.0,86.44,long biên,Quận
1426,2.35,22.0,106.82,đống đa,Quận
1427,18.0,200.0,90.0,hoàn kiếm,Quận
1428,4.4,42.0,104.76,thanh xuân,Quận
1429,3.2,30.0,106.67,hoàn kiếm,Quận
1430,2.85,30.0,95.0,thanh xuân,Quận
1431,11.8,60.0,196.67,ba đình,Quận
1432,14.2,86.0,165.12,ba đình,Quận
1433,6.7,58.0,115.52,đống đa,Quận
