User_id,First_tran_date,Location,Age,Gender
47490839,2019/06/06,Ho Chi Minh,>37,MALE
26950381,2019/09/07,Ho Chi Minh,>37,MALE
5482820,2017/05/08,Ho Chi Minh,>37,MALE
50017147,2019/10/17,Other Cities,>37,MALE
40924051,2018/02/08,Ho Chi Minh,>37,MALE
47883288,2019/07/31,Ho Chi Minh,>37,FEMALE
57870642,2020/08/14,Other Cities,>37,FEMALE
37047517,2017/04/25,Other Cities,>37,FEMALE
47808027,2019/07/08,Ha Noi,>37,FEMALE
51233798,2019/11/29,Ho Chi Minh,>37,MALE
18991584,2020/01/30,Ho Chi Minh,>37,MALE
52142864,2020/10/08,Other Cities,>37,FEMALE
59495791,2020/10/18,Other Cities,>37,MALE
33730932,2018/10/08,Ho Chi Minh,>37,FEMALE
10691343,2019/01/15,Other Cities,>37,MALE
48536505,2019/08/14,Ho Chi Minh,>37,MALE
46567099,2019/04/01,Other Cities,>37,MALE
47852901,2020/02/28,Unknown,>37,FEMALE
26786722,2020/03/25,Ho Chi Minh,>37,FEMALE
43020548,2020/10/30,Other Cities,>37,FEMALE
40039169,2017/10/31,Ho Chi Minh,>37,MALE
58000090,2020/08/21,Other Cities,>37,MALE
36853127,2019/03/06,Ho Chi Minh,>37,FEMALE
59096470,2020/12/22,Other Cities,>37,FEMALE
37324600,2017/02/28,Other Cities,>37,FEMALE
45628618,2019/02/25,Other Cities,>37,MALE
28546260,2019/05/28,Other Cities,>37,FEMALE
41842053,2018/05/16,Ha Noi,>37,MALE
28158550,2020/02/28,Other Cities,>37,MALE
48479638,2019/11/05,Other Cities,>37,FEMALE
50362248,2020/04/25,Other Cities,>37,MALE
46481986,2019/03/28,Ho Chi Minh,>37,MALE
34263405,2019/03/26,Ho Chi Minh,>37,FEMALE
35105306,2016/02/28,Ho Chi Minh,>37,MALE
44959197,2020/07/30,Other Cities,>37,FEMALE
52428460,2020/05/18,Other Cities,>37,MALE
46523969,2019/04/18,Ho Chi Minh,>37,FEMALE
31724290,2018/06/19,Other Cities,>37,FEMALE
27322665,2017/01/01,Ho Chi Minh,>37,MALE
35276117,2020/03/30,Unknown,>37,MALE
46338197,2019/12/27,Other Cities,>37,FEMALE
47391263,2019/08/04,Other Cities,>37,MALE
55988484,2020/06/21,Other Cities,>37,FEMALE
35641819,2018/05/02,Ho Chi Minh,>37,MALE
41414101,2020/07/24,Ho Chi Minh,>37,FEMALE
35845202,2016/08/11,Ha Noi,>37,MALE
38724378,2020/03/02,Ha Noi,>37,MALE
48926447,2019/08/24,Other Cities,>37,MALE
43435135,2020/05/06,Ha Noi,>37,FEMALE
4267519,2016/07/09,Other Cities,>37,MALE
54110803,2020/06/09,Other Cities,>37,MALE
56467907,2020/07/27,Other Cities,>37,FEMALE
20379271,2019/11/29,Other Cities,>37,FEMALE
38712257,2017/04/29,Other Cities,>37,MALE
55745676,2020/05/05,Other Cities,>37,MALE
40591220,2017/12/19,Other Cities,>37,FEMALE
56766251,2020/08/06,Other Cities,>37,MALE
23658997,2018/11/28,Other Cities,>37,MALE
28921350,2018/05/19,Ho Chi Minh,>37,FEMALE
2472160,2019/09/29,Unknown,>37,MALE
52132563,2019/12/28,Other Cities,>37,FEMALE
517239,2018/01/10,Ho Chi Minh,>37,MALE
41939203,2018/05/29,Other Cities,>37,MALE
20455846,2016/11/07,Unknown,>37,MALE
56659594,2020/07/30,Other Cities,>37,FEMALE
57366576,2020/08/01,Unknown,>37,MALE
56537361,2020/08/05,Ho Chi Minh,>37,FEMALE
